sample_id,status,reason,page_count,compile_seconds,source_path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,sha256_source,sha256_pdf,corpus_dir
tufte_latex_sample_book_fd77261a,rejected,page_count_38,38,2.125174040964339,/usr/local/texlive/2026/texmf-dist/doc/latex/tufte-latex/sample-book.tex,tufte-latex,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,965,48430,16d1cf67deeb5de985e4b9c12c87efa05c8ea5b5c58a2425851036e65b4b4ce7,,
formation_latex_ul_exercice_demo_c6932cb4,rejected,page_count_26,26,2.172369959007483,/usr/local/texlive/2026/texmf-dist/doc/latex/formation-latex-ul/exercice-demo.tex,formation-latex-ul,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning;theorems_proofs,large,1225,53518,de284ce8b4138d46851443223ccb728409e1bd0bcf5349751e2db0a349fd0bde,,
apa6_longsample_26402690,rejected,page_count_14,14,1.8835264170193113,/usr/local/texlive/2026/texmf-dist/doc/latex/apa6/samples/longsample.tex,apa6,texlive_ctan_doc,table,captions;citations_bibliography;complex_table;crossrefs;figures_images;multi_column;simple_table;text_sectioning,medium,186,6904,e75da55b7e7d5dbd03ff4c281e30a6b48385bcafb2226b008a2dc37a63ea31fc,,
apa7_longsample_0521a96f,rejected,page_count_14,14,3.1883372089941986,/usr/local/texlive/2026/texmf-dist/doc/latex/apa7/samples/longsample.tex,apa7,texlive_ctan_doc,table,captions;citations_bibliography;complex_table;crossrefs;figures_images;multi_column;simple_table;text_sectioning,medium,184,6877,e54c81d3d8eb684b07370e09d00295d41d45c70303212ea2c61719f3978f388f,,
apa7_shortsample_73478176,accepted,accepted,2,2.169544542033691,/usr/local/texlive/2026/texmf-dist/doc/latex/apa7/samples/shortsample.tex,apa7,texlive_ctan_doc,table,captions;citations_bibliography;complex_table;crossrefs;figures_images;multi_column;simple_table;text_sectioning,medium,151,6475,0bb64f61a293ec7fc2a3ac852fc2d8db0754e89563108ed9714e08577240903a,ea1013f79a53de0da88b256de7c6a695c6beab3e8e5c24eb154f1f3cbf26934d,data/texlive_seed_smoke2/corpus/apa7_shortsample_73478176
commedit_sample_ab1fcd8d,rejected,pdflatex_failed,0,0.17120891698868945,/usr/local/texlive/2026/texmf-dist/doc/latex/commedit/sample.tex,commedit,texlive_ctan_doc,table,captions;crossrefs;display_math;figures_images;footnotes;lists;simple_table;text_sectioning,medium,142,3700,b3716deecf70ee572aca5cfc806a0b533bb59cb01ff09198daded3acb5e74af6,,
svg_animate_test_45578bdf,accepted,accepted,1,1.2000165000208654,/usr/local/texlive/2026/texmf-dist/doc/latex/svg-animate/test.tex,svg-animate,texlive_ctan_doc,figure_diagram_plot,custom_macros;diagram_nodes_edges;display_math;simple_table;tikz,medium,121,4076,e17863cadb7a7296b80617169ac9220136ee1f6eb1d09a803bfff1b8308603ea,c5fa2e213de1763881f34b1fee513327059675537ffaf834a14a487dfc458ad8,data/texlive_seed_smoke2/corpus/svg_animate_test_45578bdf
reledmac_page_typesetting_columns_fdd42ad5,rejected,pdflatex_failed,0,0.13830908300587907,/usr/local/texlive/2026/texmf-dist/doc/latex/reledmac/doc-more/page-typesetting-columns.tex,reledmac,texlive_ctan_doc,figure_diagram_plot,captions;crossrefs;custom_macros;diagram_nodes_edges;display_math;figures_images;fonts_symbols;inline_math;lists;text_sectioning;tikz,medium,92,4644,4a5f6eb28b4b51ccb7fdff939475a7fe005d5a33f26dcced6ba99e956008e06b,,
fetamont_fetamont_typeface_4a8a5055,rejected,pdflatex_failed,0,0.5323069999576546,/usr/local/texlive/2026/texmf-dist/doc/fonts/fetamont/fetamont-typeface.tex,fetamont,texlive_ctan_doc,figure_diagram_plot,citations_bibliography;complex_table;diagram_nodes_edges;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning;tikz,large,1306,91670,022792db99efd110ff0c0d3e1a65b652506ae799ce6727114193fc52fc13889d,,
latex_notes_zh_cn_basics_7fd67451,rejected,pdflatex_failed,0,0.1339583329972811,/usr/local/texlive/2026/texmf-dist/doc/generic/latex-notes-zh-cn/src/basics.tex,latex-notes-zh-cn,texlive_ctan_doc,figure_diagram_plot,captions;citations_bibliography;complex_table;crossrefs;diagram_nodes_edges;figures_images;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning;tikz,large,397,13586,fa7fba08ef35b3dee774ed22a8c66a152718a056de38b6db62d642633694260b,,
