sample_id,category,source_split,selected_ai_stage,ai_final_compiled,reference_pages,ai_pages,page_count_match,pandoc_compile,tylax_compile,typetex_compile,source_comparison_pdf,source_pdf_page,report_page
02_lists_formatting_021,02_lists_formatting,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,26,28
02_lists_formatting_024,02_lists_formatting,prompt_dev,v1_targeted_retry,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,8,29
02_lists_formatting_025,02_lists_formatting,prompt_dev,v0,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,6,30
02_lists_formatting_026,02_lists_formatting,prompt_dev,v0,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,7,31
03_math_inline_display_001,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,28,33
03_math_inline_display_002,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,29,34
03_math_inline_display_003,03_math_inline_display,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,30,35
03_math_inline_display_004,03_math_inline_display,prompt_dev,v0,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,12,36
03_math_inline_display_005,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,31,37
03_math_inline_display_006,03_math_inline_display,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,32,38
03_math_inline_display_007,03_math_inline_display,heldout,v2,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,33,39
03_math_inline_display_008,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,34,40
03_math_inline_display_009,03_math_inline_display,heldout,v1,True,1,1,True,ok,failed,failed,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,35,41
03_math_inline_display_010,03_math_inline_display,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,36,42
03_math_inline_display_011,03_math_inline_display,prompt_dev,v0,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,11,43
03_math_inline_display_012,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,37,44
03_math_inline_display_013,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,38,45
03_math_inline_display_014,03_math_inline_display,prompt_dev,v1_targeted_retry,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,10,46
03_math_inline_display_015,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,39,47
03_math_inline_display_016,03_math_inline_display,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,40,48
03_math_inline_display_017,03_math_inline_display,heldout,v1,True,1,1,True,ok,failed,failed,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,41,49
03_math_inline_display_018,03_math_inline_display,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,42,50
04_math_aligned_001,04_math_aligned,heldout,v2,True,2,1,False,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,44,52
04_math_aligned_002,04_math_aligned,heldout,v2,True,1,1,True,ok,failed,failed,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,45,53
04_math_aligned_003,04_math_aligned,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,46,54
04_math_aligned_004,04_math_aligned,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,47,55
04_math_aligned_005,04_math_aligned,heldout,v2,True,2,1,False,ok,failed,failed,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,48,56
04_math_aligned_006,04_math_aligned,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,49,57
04_math_aligned_007,04_math_aligned,heldout,v3,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,50,58
04_math_aligned_008,04_math_aligned,prompt_dev,v0,True,1,1,,failed,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,15,59
04_math_aligned_009,04_math_aligned,heldout,v2,True,2,1,False,ok,failed,failed,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,51,60
04_math_aligned_010,04_math_aligned,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,52,61
04_math_aligned_011,04_math_aligned,heldout,v1,True,2,1,False,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,53,62
04_math_aligned_012,04_math_aligned,prompt_dev,v1_targeted_retry,True,2,2,,failed,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,16,63
04_math_aligned_013,04_math_aligned,heldout,v2,True,2,1,False,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,54,64
04_math_aligned_014,04_math_aligned,prompt_dev,v0,True,2,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,14,65
04_math_aligned_015,04_math_aligned,heldout,v2,True,2,1,False,failed,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,55,66
05_tables_simple_001,05_tables_simple,heldout,v3,True,3,2,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,57,68
05_tables_simple_002,05_tables_simple,heldout,v2,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,58,69
05_tables_simple_005,05_tables_simple,prompt_dev,v0,True,2,3,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,19,70
05_tables_simple_006,05_tables_simple,heldout,v2,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,59,71
