path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,score,sha256_source
/usr/local/texlive/2026/texmf-dist/doc/latex/bxjalipsum/sample-bxjalipsum-1.tex,bxjalipsum,texlive_ctan_doc,package_example,lists;text_sectioning,short,34,705,78,880c08ff17904b53d704ef72118679a1ce359ca90035c7e4b8a28adf09a37731
/usr/local/texlive/2026/texmf-dist/doc/latex/datetime2-it-fulltext/samples/sample-it-timedatestyle2.tex,datetime2-it-fulltext,texlive_ctan_doc,compact_paper,fonts_symbols;lists;text_sectioning,medium,103,3145,117,ff20f3dce6a90ca5fc33478c854fa2cba90b7c13bf0f1fd8d5f09577f27f54eb
/usr/local/texlive/2026/texmf-dist/doc/latex/estcpmm/sample.tex,estcpmm,texlive_ctan_doc,letter_form_teaching,captions;crossrefs;figures_images;inline_math;simple_table;text_sectioning,short,53,1338,110,394f8118653246cf0e9130800e28af7f10562740eb97e40d179d907f69855d1f
/usr/local/texlive/2026/texmf-dist/doc/latex/hep-reference/hep-reference-test.tex,hep-reference,texlive_ctan_doc,paper_excerpt,citations_bibliography;crossrefs;display_math;footnotes;text_sectioning,medium,45,1544,81,df39ed8464f1d19e5c5cd4480e39fde3903dc09e41a1242bbe99ff73731ff2c9
/usr/local/texlive/2026/texmf-dist/doc/latex/pgf-go/examples/example-6.tex,pgf-go,texlive_ctan_doc,cv_resume,simple_table,short,25,744,70,b8a44b798877dfb7b37d3436366fdbca4222e3cd7bd365cf3122fce2220699c8
/usr/local/texlive/2026/texmf-dist/doc/latex/nomencl/sample01.tex,nomencl,texlive_ctan_doc,math_short,display_math;inline_math;text_sectioning,short,18,565,86,067ac2524542a7bfe08facd20a620a419b72fbff52de3371646458beedff9a0a
/usr/local/texlive/2026/texmf-dist/doc/latex/glossaries/samples/sampleAcr.tex,glossaries,texlive_ctan_doc,table,simple_table;text_sectioning,medium,71,2750,109,3aa011447dcf03cde2804351ba6b963c29015d138e463879f0b4dbc7b69c1188
/usr/local/texlive/2026/texmf-dist/doc/latex/moodle/test/test_circuitikz.tex,moodle,texlive_ctan_doc,figure_diagram_plot,diagram_nodes_edges;fonts_symbols;inline_math;text_sectioning;tikz,short,32,1110,116,dbc9c6d229753ad49a62c5b65a191e898dfcf05ddd87948555bb96439eb24950
/usr/local/texlive/2026/texmf-dist/doc/latex/datatool/samples/sample-piechart.tex,datatool,texlive_ctan_doc,package_example,captions;figures_images,short,28,857,78,664824042eee63c65981c9ce7accbe2b2c8c56d357653afff95451c3762889ea
/usr/local/texlive/2026/texmf-dist/doc/latex/moodle/test/test_minted.tex,moodle,texlive_ctan_doc,compact_paper,fonts_symbols;inline_math;text_sectioning,medium,102,3496,117,a00c07bb506278831243dfc3680911637a14b6cb186e8736c75adb15c1e07d84
/usr/local/texlive/2026/texmf-dist/doc/latex/dinbrief/example.tex,dinbrief,texlive_ctan_doc,letter_form_teaching,display_math;figures_images;inline_math,medium,165,5740,103,1f7472d68ef004f8da25f7c2a78aa2825b81d3fbf92d5f97767ac5bcb5b58e09
